Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 45	504	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 46	502	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 48	839	Triticum	aestivum	Triticum aestivum L	Directorate of Agriculture Al-Qaseem	قمح (حنطة)	Saudi Arabia	Al-Qaseem	Al-Qaseem
W 49	598	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	CIMMYT Sample	CIMMYT
W 50	491	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 51	499	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 52	977	Triticum	aestivum	Triticum aestivum L	Market	قمح لقيمي	Saudi Arabia	Mecca	 Buraidah
W 53	596	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 54	594	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 55	1172	Triticum	aestivum	Triticum aestivum L	Farm	قمح خبز ربيعي LNM0136	Saudi Arabia	Unknow	Hail
W 56	496	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 57	506	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 58	646	Triticum	aestivum	Triticum aestivum L	ICARDA-113219	قمح الخبز	Morocco	Unknow	Al-Baha
W 59	503	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 60	377	Triticum	aestivum	Triticum aestivum L	Farm	قمح بلدي	Saudi Arabia	Northern Province	Rafha
W 61	286	Triticum	aestivum	Triticum aestivum L	Al-Shabi Market	قمح بلدي (قياض)	Saudi Arabia	Aseer	Balsamer
W 62	375	Triticum	aestivum	Triticum aestivum L	Farm	قمح هلباء	Saudi Arabia	Northern Province	Rafha
