Sr. No.,Sent Code ,Accession Bank ID,Genus,Species,ScientifiCName,Source or Donor Name,Local Names,Collection Country,Collection Site,Place of collection
69,C93,2823,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Reeth
70,C94,2824,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Reeth
71,C95,2825,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
72,C96,2826,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Dayer
73,C97,2827,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
74,C98,2828,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
75,C99,2829,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Reeth
76,C100,2830,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Reeth
77,C101,2831,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
78,C102,2832,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Aaridah
79,C103,2833,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
80,C104,2834,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,AlReeth
